latitude,longitude
43.22299492508363,76.85701055102138
43.223094925083636,76.85711055102138
43.301915517672974,76.92416975041611
43.30201551767298,76.92426975041612
43.243107,76.956943
43.243207000000005,76.957043
43.337253,76.938486
43.337353,76.938586
43.24961534130212,76.94468306353392
43.24971534130212,76.94478306353392
43.246241267544455,76.9449585839075
43.24634126754446,76.94505858390751
43.24856793197226,76.94226640654425
43.248667931972264,76.94236640654425
43.239389,76.957369
43.239489000000006,76.957469
43.30180940015016,76.92313217294092
43.301909400150166,76.92323217294093
43.235001862148046,76.86398711284656
43.23510186214805,76.86408711284656
43.247353858382816,76.86430434846959
43.24745385838282,76.86440434846959
43.236486,76.860751
43.236586,76.860851
43.30861,76.944383
43.308710000000005,76.944483
43.294773145705165,76.9504158014672
43.29487314570517,76.9505158014672
43.30569626746795,76.9531340891329
43.305796267467954,76.9532340891329
43.34038627573667,77.0083628543583
43.34048627573667,77.0084628543583
43.30192308676761,76.92424265650688
43.30202308676761,76.92434265650688
43.25659158149594,76.96956529403415
43.25669158149594,76.96966529403416
43.250452,76.955967
43.250552000000006,76.956067
43.250683,76.959444
43.250783000000006,76.95954400000001
43.23576604512694,76.94921246788907
43.23586604512694,76.94931246788907
43.23883882014705,76.94986251992259
43.238938820147055,76.9499625199226
43.250068762952964,76.9368755605708
43.25016876295297,76.9369755605708
43.252767578894094,76.91543392345186
43.2528675788941,76.91553392345186
43.25469314993134,76.94332408741846
43.254793149931345,76.94342408741846
43.25405102019648,76.94501901294716
43.25415102019648,76.94511901294716
43.25437014529681,76.94678508816457
43.254470145296814,76.94688508816458
43.266322813433874,76.94350417296587
43.26642281343388,76.94360417296588
43.26565300352124,76.93835501299826
43.26575300352124,76.93845501299826
43.26595374333712,76.94454157492369
43.266053743337125,76.9446415749237
43.25751418868632,76.94467668292043
43.257614188686325,76.94477668292043
43.257126796037035,76.94119376258652
43.25722679603704,76.94129376258653
43.25777445153555,76.9463470688948
43.25787445153556,76.9464470688948
43.236437938314076,76.94199539659469
43.23653793831408,76.9420953965947
43.23817092843197,76.94531253647901
43.23827092843197,76.94541253647901
43.23731659175063,76.94899699499693
43.23741659175063,76.94909699499694
43.257199,76.955113
43.257299,76.955213
43.34373370995921,76.99447685382586
43.34383370995921,76.99457685382586
43.21245088128815,76.92039080483744
43.21255088128815,76.92049080483744
43.293397542804094,76.91407969758461
43.2934975428041,76.91417969758461
43.29592,76.912609
43.296020000000006,76.912709
43.25428195598837,76.90205192399566
43.25438195598837,76.90215192399566
43.24039869853081,76.91911748384587
43.240498698530814,76.91921748384587
43.24095808046067,76.91600228241643
43.241058080460675,76.91610228241643
43.23442838972381,76.94940706378188
43.23452838972381,76.94950706378188
43.212820899331504,76.90305511725607
43.21292089933151,76.90315511725608
43.2127907306023,76.90290396056437
43.212890730602304,76.90300396056438
43.253031447376685,76.9504776035573
43.25313144737669,76.9505776035573
43.24402755910632,76.89882969624574
43.244127559106325,76.89892969624574
43.187863,76.884157
43.187963,76.884257
43.1873137432578,76.88921167190713
43.18741374325781,76.88931167190714
43.194385,76.882188
43.194485,76.882288
43.334993935717506,76.95035101421388
43.33509393571751,76.95045101421388
43.229204,76.966087
43.229304000000006,76.966187
43.22909,76.9602
43.22919,76.9603
43.226553,76.961548
43.226653000000006,76.961648
43.26267815607691,76.93523006408692
43.26277815607691,76.93533006408693
43.24739082150123,76.92655985208297
43.24749082150123,76.92665985208298
43.24503934138847,76.92778810427308
43.24513934138847,76.92788810427308
43.245118696352236,76.95447219719618
43.24521869635224,76.95457219719619
43.2426708936642,76.91805262545775
43.2427708936642,76.91815262545775
43.241705,76.916385
43.24180500000001,76.91648500000001
43.244410528452335,76.94370892492097
43.24451052845234,76.94380892492097
43.24096609543573,76.94367691598976
43.241066095435734,76.94377691598976
43.25363004126341,76.92874741776691
43.25373004126342,76.92884741776692
43.26597974151157,76.93831409590112
43.266079741511575,76.93841409590112
43.26358105217026,76.93937569119161
43.26368105217026,76.93947569119162
43.243107,76.956943
43.243207000000005,76.957043
43.322122724077474,76.96138483324066
43.32222272407748,76.96148483324066
43.33161725486488,77.00149097134444
43.331717254864884,77.00159097134444
43.33640203731166,77.00197457193744
43.33650203731166,77.00207457193744
43.2408814323022,76.91525491512935
43.240981432302206,76.91535491512936
43.24294689192183,76.91625024013508
43.243046891921836,76.91635024013509
43.24572629358467,76.91330822654669
43.24582629358467,76.9134082265467
43.226785439132414,76.92751805585216
43.22688543913242,76.92761805585216
43.29323,76.957416
43.293330000000005,76.957516
43.31714638925874,76.83388590571955
43.31724638925874,76.83398590571956
43.318644,76.839156
43.318744,76.839256
43.20062031015754,76.82048838722177
43.20072031015754,76.82058838722178
43.202252,76.819303
43.202352000000005,76.81940300000001
43.312514820574144,76.85564342685056
43.31261482057415,76.85574342685057
43.233943191800755,76.86612701456444
43.23404319180076,76.86622701456444
43.23495057787927,76.87334935576482
43.23505057787927,76.87344935576482
43.24088745560229,76.87360391199408
43.240987455602294,76.87370391199408
